,Variant,mean norm rate [s-1],norm rate [s-1] sem,norm rate [s-1] std,norm rate [s-1] N,mean kcat,kcat sem,kcat std,kcat N,mean KM,KM sem,KM std,KM N,ID,Query,QID,type,index
0,RBCSeed_3,14.0,1.5,2.7,3,13.5,0.7,2.0,8,1655.7,751.3,1301.3,3,RBCSeed_3,Zetaproteobacteria bacterium,RBCSeed_3,II,0
1,RBC4_10,13.9,0.7,1.9,8,13.2,0.7,2.1,8,17934837580.0,17934830692.7,40103500593.8,5,RBC4_10,Gallionellales bacterium,RBC4_10,II,1
2,RBC4_11,13.7,0.8,2.6,11,12.9,0.8,2.7,11,14651272083.6,14651271122.0,32761238185.5,5,RBC4_11,Zetaproteobacteria bacterium,RBC4_11,II,2
3,RBC_50,12.5,1.0,2.2,5,11.0,0.8,1.7,5,356.4,69.9,139.7,4,RBC_50,Actinosporangium sp. NRRL B-3428,RBC_50,II,3
4,RBC4_15,11.8,0.7,2.3,12,10.9,1.0,3.6,12,2857455805.5,2857455366.3,6999307610.3,6,RBC4_15,Hydrogenovibrio marinus,RBC4_15,II,4
5,RBC4_75,10.7,2.1,2.9,2,8.4,1.4,2.4,3,204.5,68.5,118.7,3,RBC4_75,uncultured organism,RBC4_75,II,5
6,AfM,10.4,0.5,1.9,11,10.4,0.6,2.5,15,659.6,178.0,308.3,3,AfM,Acidithiobacillus ferrooxidans,,II,6
7,RBC_89,10.3,3.1,4.4,2,10.9,1.7,2.4,2,454.5,,,1,RBC_89,Acidithiobacillus caldus,RBC_89,II,7
8,RBC2_45,10.2,,,1,9.9,,,1,151.5,,,1,,Unknown organism,RBC2_45,II,8
9,RBC4_28,10.0,0.9,1.5,3,8.5,1.2,2.0,3,578.8,,,1,RBC4_28,Gammaproteobacteria bacterium,RBC4_28,II,9
10,RBC4_13,9.5,1.3,2.6,4,9.4,2.9,5.9,4,408.7,,,1,RBC4_13,Sulfurivirga caldicuralii,RBC4_13,II,10
12,RBC4_66,9.5,1.2,2.0,3,8.8,1.2,2.0,3,55080589574.9,,,1,RBC4_66,Ectothiorhodospira mobilis,RBC4_66,II,11
13,RBC2_44,9.5,1.3,2.6,4,7.9,1.1,2.4,5,102.1,14.5,20.5,2,RBC2_44,Rhodobacter johrii,RBC2_44,II,12
14,RBC4_19,9.5,1.7,2.5,2,10.4,0.3,0.4,2,,,,0,RBC4_19,Imhoffiella purpurea,RBC4_19,II,13
15,RBC_9,9.5,0.8,1.2,2,11.1,1.7,3.0,3,223.3,,,1,RBC_9,Pararhodospirillum photometricum,RBC_9,II,14
16,RBC4_59,9.4,0.1,0.2,2,7.8,0.6,1.0,3,76315893135.0,76315893040.0,132183004170.3,3,RBC4_59,Thiolapillus brandeum,RBC4_59,II,15
17,RBC_76,9.0,0.3,0.5,4,10.8,1.5,3.3,5,,,,0,RBC_76,Magnetovibrio blakemorei,RBC_76,II,16
18,RBC4_73,8.9,,,1,7.3,0.3,0.5,2,140.1,33.4,47.3,2,RBC4_73,Candidatus Peregrinibacteria,RBC4_73,II/III,17
19,RBC4_27,8.8,0.2,0.2,2,7.0,0.8,1.2,2,,,,0,RBC4_27,Thiothrix disciformis,RBC4_27,II,18
20,RBC4_29,8.5,0.5,0.8,2,6.7,0.5,0.7,2,,,,0,RBC4_29,Magnetospirillum gryphiswaldense,RBC4_29,II,19
21,RBC4_22,8.4,1.1,1.5,2,5.7,0.8,1.1,2,,,,0,RBC4_22,Rhodovulum sp. MB263,RBC4_22,II,20
22,RBC_81,8.3,0.7,1.3,3,10.5,1.7,2.9,3,,,,0,RBC_81,Propionicicella superfundia,RBC_81,II,21
23,RBC4_20,8.2,1.1,2.2,4,9.1,1.2,2.5,4,126.7,,,1,RBC4_20,Rhodovulum sp. P5,RBC4_20,II,22
24,RBCSeed_24,8.2,0.1,0.2,2,7.1,0.2,0.2,2,,,,0,RBCSeed_24,Gammaproteobacterial endosymbiont,RBCSeed_24,II,23
25,RBC_25,8.0,,,1,12.7,,,1,,,,0,RBC_25,Leptothrix ochracea,RBC_25,II,24
26,RBC4_35,7.8,1.2,2.0,3,8.0,0.5,0.8,3,130.9,15.8,22.4,2,RBC4_35,Magnetospirillum moscoviense,RBC4_35,II,25
27,RBC_67,7.8,1.8,3.2,3,7.7,0.4,0.7,3,,,,0,RBC_67,Rhodopseudomonas palustris,,II,26
