,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,variant,taxonomy,note,short_ref,pmid_or_doi,citation
0,Methanococcoides burtonii,burtonii_coli_alonso,1,0,E. coli,130,4,2,0.1,1.18,0.05,2.5,0.3,0.0326,0.024,0.0423,0.03,,0.0154,0.0136,0.0172,0.013,0.0113,0.0151,0.13,0.02,25,7,2_3,,Archaea,L10 induced by addition of RuBP,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. “Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers.” The Journal of Biological Chemistry 284 (49):33876–82."
1,Methanococcoides burtonii L2,burtonii_L2_coli_alonso,1,0,E. coli,,,1.9,0.1,1.08,0.04,,,,,,,,,,,,,,,,25,7,2_3,,Archaea,L2 prior to induction to L10 formation by RuBP,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. “Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers.” The Journal of Biological Chemistry 284 (49):33876–82."
2,Methanococcoides burtonii,burtonii_tobacco_coli_alonso,1,0,Tobacco,,,1.9,0.1,1.14,0.02,,,,,,,,,,,,,,,,25,7,2_3,,Archaea,Purification from tobacco. ,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. “Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers.” The Journal of Biological Chemistry 284 (49):33876–82."
3,Rhodospirillum rubrum,rubrum_alonso,1,0,E. coli,,,,,8.1,0.2,,,,,,,,,,,,,,,,25,7,2,,Alphaproteobacteria,"Only measured S here, assumed purified from E. coli like M burtonii",Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. “Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers.” The Journal of Biological Chemistry 284 (49):33876–82."
4,Synechococcus 7002,7002_rate_andrews1985,1,0,False,185,14,11.6,0.69,,,,,,,,,,0.0628,0.0522,0.0764,,,,69.6,8.1,25,7.8,1,B,Cyanobacteria,vC calculated total activity in ref assuming all sites activated - this is probably not true. 7002 assigment based on savir paper,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
5,Spinacia oleracea,oleracea_andrews1985,1,0,False,,,,,105,3,,,,,,,,,,,,,,,,25,8.52,1,B,C3 plants,Figure 3,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
6,Synechococcus 6301,7002_S_andrews1985,1,0,False,,,,,67.2,2,,,,,,,,,,,,,,,,25,8.52,1,B,Cyanobacteria,Figure 3,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
7,Rhodospirillum rubrum,rubrum_andrews1985,1,0,E. coli,,,,,14,0.7,,,,,,,,,,,,,,,,25,8.52,2,,Alphaproteobacteria,Figure 3,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
10,Anabena variabilis,variabilis_badger,1,0,False,293,27,,,,,,,,,,,,,,,,,,21.4,1.3,25,8,1,B,Cyanobacteria,Anabenas have ccmM,Badger 1980,6772105,"Badger, M. R. (1980). Kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase from Anabaena variabilis. Arch. Biochem. Biophys. 201, 247–254."
38,Anacystis nidulans,nidulans_bainbridge,1,0,Unclear,,,7.2,0.15,46.3,0.9,,,,,,,,,,,,,,,,25,8,1,B,Cyanobacteria,"Methods not clear from paper, assumed pH 8 and T = 25 since the data are compared to papers for which that is the case.",Bainbridge 1995,https://doi.org/10.1093/jxb/46.special_issue.1272,"Bainbridge, G. et al. Engineering Rubisco to change its catalytic properties. J. Exp. Bot. 46, 1269–1276 (1995)."
43,Setaria viridis,viridis_boyd,1,0,False,,,5.44,0.44,,,,,,,,,,,,,,,,,,25,7.7,1,B,C4 plants,CO2 measured directs only MIMS. Can calculate kcatO and KMs from the data here. kcatC is the only thing reported directly. All the other data are in pressure units - need to know Henry's law constants in their conditions,Boyd 2015,26373659,"Boyd RA, Gandin A, Cousins AB. 2015. Temperature responses of C4 photosynthesis: biochemical analysis of rubisco, phosphoenolpyruvate carboxylase, and carbonic anhydrase in Setaria viridis. Plant Physiology 169, 1850–1861."
44,Spinacia oleracea hybrid 102,oleracea_hybrid102_brooks,1,0,False,,,,,94.1,3.24,,,,,,,,,,,,,,,,25,,1,B,C3 plants,pH and pKa not clear from methods,Brooks 1985,https://doi.org/10.1007/BF00392238,"Brooks A, Farquhar GD. Effect of temperature on the CO2/O 2 specificity of ribulose-1,5-bisphosphate carboxylase/oxygenase and the rate of respiration in the light : Estimates from gas-exchange measurements on spinach. Planta. 1985 Aug;165(3):397-406. doi: 10.1007/BF00392238."
45,Triticum aestivum,aestivum_brooks,1,0,False,,,,,102,3.5,,,,,,,,,,,,,,,,25,,1,B,C3 plants,pH and pKa not clear from methods,Brooks 1985,https://doi.org/10.1007/BF00392238,"Brooks A, Farquhar GD. Effect of temperature on the CO2/O 2 specificity of ribulose-1,5-bisphosphate carboxylase/oxygenase and the rate of respiration in the light : Estimates from gas-exchange measurements on spinach. Planta. 1985 Aug;165(3):397-406. doi: 10.1007/BF00392238."
46,C. dactylon,dactylon_carmo_silva,1,0,False,21,1.3,,,89.2,9,402,27,,,,,,,,,,,,,,25,8.2,1,B,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
47,P. dilatatum,dilatatum_carmo_silva,1,0,False,19.9,0.8,,,88,7.1,415,5,,,,,,,,,,,,,,25,8.2,1,B,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
48,Triticum aestivum,aestivum_carmo_silva,1,0,False,10.9,0.9,,,100,9.2,341,33,,,,,,,,,,,,,,25,8.2,1,B,C3 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
49,Z. japonica,japonica_carmo_silva,1,0,False,18.5,1.2,,,84.1,7.7,403,27,,,,,,,,,,,,,,25,8.2,1,B,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
50,Espeletia schultzii,schultzii_3100m_castrillo,1,0,False,25,2.28,,,,,,,,,,,,,,,,,,,,25,8.2,1,B,C3 plants,"extracted from leaves collected at 3,100m elevation. values at other temps here. Reference on this family claims they are predominantly C3 (Tropical Alpine Plant Ecology, Smith & Young 1987).",Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
51,Espeletia schultzii,schultzii_3550m_castrillo,1,0,False,21.7,1.98,,,,,,,,,,,,,,,,,,,,25,8.2,1,B,C3 plants,at 3550 m elevation,Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
52,Espeletia schultzii,schultzii_4200m_castrillo,1,0,False,23.2,2.12,,,,,,,,,,,,,,,,,,,,25,8.2,1,B,C3 plants,at 4200 m elevation,Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
55,Halothiobacillus neapolitanus,hnea_dou,1,0,False,164,17.1,,,,,,,,,,,,,,,,,,,,25,8,1,A,Gammaproteobacteria,"unclear what temperature this was measured in from methods, assumed 25 C",Dou 2008,18258595,"Dou, Zhicheng, et al. “CO2 Fixation Kinetics of Halothiobacillus Neapolitanus Mutant Carboxysomes Lacking Carbonic Anhydrase Suggest the Shell Acts as a Diffusional Barrier for CO2.” The Journal of Biological Chemistry, vol. 283, no. 16, Apr. 2008, pp. 10377–84, doi:10.1074/jbc.M709285200."
