Variant,mean relative to Rr,relative to Rr sem,relative to Rr std,relative to Rr N,mean kcat,kcat sem,kcat std,kcat N,mean KM,KM sem,KM std,KM N
RBC4_10,13.4,0.7,1.8,6,13.1,0.9,2.3,6,2162.4,1197.7,2074.6,3
RBC4_11,12.9,0.8,2.4,9,12.4,0.9,2.7,9,860.7,164.0,284.1,3
RBCSeed_3,12.8,1.4,2.0,2,13.3,0.7,2.0,7,1934.1,1208.7,1709.3,2
RBC_50,12.4,1.3,2.6,4,11.2,1.0,1.9,4,339.1,91.7,158.8,3
AfM,11.5,1.6,3.7,5,9.9,1.0,2.3,5,511.5,170.9,241.7,2
RBC4_15,11.2,0.7,2.3,10,10.5,1.2,3.8,10,344.4,68.1,136.1,4
RBC4_28,10.2,1.4,2.0,2,8.3,2.3,3.3,2,,,,0
RBC4_75,10.2,2.5,3.5,2,8.4,1.4,2.4,3,180.3,83.6,144.9,3
AfM_O,9.8,0.9,1.9,5,10.5,0.8,2.4,10,,,,0
RBC2_44,9.7,,,1,7.0,1.2,2.4,4,83.2,,,1
RBC4_19,9.4,1.7,2.4,2,10.4,0.3,0.4,2,,,,0
Hn,9.2,0.6,1.8,9,8.8,0.9,2.9,10,730.6,399.3,691.6,3
RBC4_59,9.2,,,1,7.3,0.6,0.8,2,57.2,46.8,66.1,2
RBC_9,9.1,1.1,1.6,2,10.3,1.8,3.0,3,776.5,566.7,801.5,2
RBC_76,9.0,0.4,0.6,3,10.8,1.5,3.3,5,,,,0
RBC_81,9.0,0.7,0.9,2,11.2,2.7,3.8,2,,,,0
RBC_89,9.0,3.0,4.2,2,8.5,4.2,5.9,2,454.5,,,1
RBC4_20,8.9,0.3,0.6,3,10.0,1.3,2.2,3,68.2,,,1
RBC4_73,8.9,,,1,7.3,0.3,0.5,2,132.1,41.4,58.6,2
RBC4_66,8.8,1.7,2.5,2,8.1,1.5,2.2,2,,,,0
RBC4_27,8.5,0.0,0.0,2,6.8,1.0,1.4,2,,,,0
RBC4_22,8.5,1.1,1.6,2,5.8,0.8,1.1,2,,,,0
RBC4_13,8.3,1.6,3.1,4,8.3,3.1,6.2,4,,,,0
RBC4_29,8.2,0.3,0.4,2,6.5,0.7,1.0,2,,,,0
RBC_67,8.2,2.2,3.8,3,7.7,0.4,0.7,3,,,,0
RBC4_61,7.8,3.0,4.3,2,7.7,3.8,5.4,2,192.6,,,1
RBC_60,7.7,0.3,0.4,2,6.5,1.2,1.7,2,,,,0
RBC4_35,7.7,2.2,3.1,2,8.9,1.5,2.2,2,66.8,,,1
RBC_63,7.7,0.1,0.1,2,6.9,0.0,0.0,2,,,,0
RBC4_33,7.6,0.2,0.3,2,8.6,1.8,2.6,2,,,,0
RBC4_17,7.5,,,1,8.8,1.7,2.4,2,194.8,,,1
