binomial,isoform,Remove
Acidithiobacillus ferrooxidans,1,
Aegilops biuncialis,1,
Aegilops comosa,1,
Aegilops cylindrica,1,
Aegilops juvenalis,1,
Aegilops speltoides,1,
Aegilops tauschii,1,
Aegilops triuncialis,1,
Aegilops uniaristata,1,
Aegilops vavilovii,1,
Agave victoriae-reginae,1,
Agriophyllum squarrosum,1,
Agrostis scabra,1,
Agrostis stolonifera,1,
Allochromatium vinosum,1,
Amaranthus caudatus,1,
Amaranthus edulis,1,
Amaranthus hybridus,1,
Amphicarpaea bracteata,1,
Anacystis nidulans,1,
Ancestral 1A,1,1
Ancestral 1B,1,1
Arabidopsis thaliana,1,
Archaeoglobus fulgidus,3,
Arctagrostis latifolia,1,
Artemisia myriantha,1,
Artemisia vulgaris,1,
Atrichum undulatum,1,
Atriplex glabriuscula,1,
Avena sativa,1,
Bellerochea horologicalis,1,
Beta vulgaris,1,
Brachypodium distachyon,1,
Brassica oleracea,1,
Bromus anomalus,1,
Calamagrostis arundinacea,1,
Calamagrostis canescens,1,
Calamagrostis foliosa,1,
Calamagrostis nutkaensis,1,
Calamagrostis stricta,1,
Capsicum annuum,1,
Carpobrotus edulis,1,
Cenchrus ciliaris,1,
Ceratophyllum demersum,1,
Chaetoceros calcitrans,1,
Chaetoceros muelleri,1,
Chenopodiastrum murale,1,
Chenopodium album,1,
Chenopodium petiolare,1,
Chlamydomonas reinhardtii,1,
Chrysanthellum indicum,1,
Citrullus ecirrhosus,1,
Citrullus lanatus,1,
Coffea arabica,1,
Crithmum maritimum,1,
Cucurbita maxima,1,
Cyanidium caldarium,1,
Cyanidium partita,1,
Cyanobium PCC7001,1,
Cyanobium sp.,1,
Cycas panzhihuaensis,1,
Cylindrotheca fusiformis,1,
Cylindrotheca N1,1,
Cylindrotheca sp.,1,
Dactylis glomerata,1,
Deschampsia danthonioides,1,
Desmodium cinereum,1,
Desmodium intortum,1,
Desmodium psilocarpum,1,
Drosera capensis,1,
Drosera venusta,1,
Echeveria elegans,1,
Elymus farctus,1,
Eragrostis tef,1,
Erythrina flabelliformis,1,
Eucalyptus moorei,1,
Eucalyptus neglecta,1,
Euphorbia helioscopia,1,
Euphorbia microsphaera,1,
Festuca gigantea,1,
Festuca pratensis,1,
