,binomial,isoform
0,Methanococcoides burtonii,2_3
5,Synechococcus sp.,1
8,Atriplex glabriuscula,1
11,Rhodospirillum rubrum,2
12,Allochromatium vinosum,1
13,Phaeodactylum tricornutum,1
14,Zea mays,1
15,Triticum aestivum,1
16,Spinacia oleracea,1
17,Cylindrotheca fusiformis,1
18,Cyanidium partita,1
19,Cyanidium caldarium,1
20,Olisthodiscus luteus,1
25,Synechococcus elongatus,1
39,Anacystis nidulans,1
43,Setaria viridis,1
70,Limonium magallufianum,1
71,Limonium retusum,1
72,Limonium ejulabilis,1
73,Limonium biflorum,1
74,Limonium grosii,1
75,Limonium gymnesicum,1
76,Limonium antonii-llorensii,1
77,Limonium leonardi-llorensii,1
78,Limonium companyonis,1
79,Limonium gibertii,1
80,Limonium barceloi,1
81,Limonium artruchium,1
82,Limonium balearicum,1
83,Limonium echioides,1
84,Pallenis maritima,1
85,Teucrium heterophyllum,1
86,Sideritis cretica,1
87,Eucalyptus neglecta,1
88,Arabidopsis thaliana,1
89,Limonium stenophyllum,1
90,Limonium virgatum,1
91,Crithmum maritimum,1
92,Cycas panzhihuaensis,1
93,Limonium latebracteatum,1
94,Trachycarpus fortunei,1
95,Carpobrotus edulis,1
96,Iris douglasiana,1
97,Agave victoriae-reginae,1
98,Eucalyptus moorei,1
99,Drosera capensis,1
101,Echeveria elegans,1
102,Dactylis glomerata,1
103,Nymphaea alba,1
104,Drosera venusta,1
105,Platycerium superbum,1
106,Sarracenia flava,1
107,Marchantia polymorpha,1
108,Ceratophyllum demersum,1
109,Pteridium aquilinum,1
110,Metasequoia glyptostroboides,1
111,Atrichum undulatum,1
116,Thermosynechococcus elongatus,1
126,Manihot esculenta,1
127,Phaseolus vulgaris,1
128,Glycine max,1
129,Hordeum vulgare,1
130,Cucurbita maxima,1
131,Solanum tuberosum,1
132,Capsicum annuum,1
133,Solanum lycopersicum,1
134,Medicago sativa,1
135,Avena sativa,1
136,Beta vulgaris,1
137,Coffea arabica,1
138,Lactuca sativa,1
140,Brassica oleracea,1
141,Ipomoea batatas,1
142,Oryza sativa,1
144,Saccharum officinarum,1
166,Thiobacillus denitrificans,1
167,Thiobacillus denitrificans,2
168,Pavlova lutheri,1
169,Pleurochrysis carterae,1
170,Tisochrysis lutea,1
222,Archaeoglobus fulgidus,3
223,Thermococcus kodakaraensis,3
224,Flaveria sonorensis,1
225,Flaveria anomala,1
226,Flaveria cronquistii,1
227,Chenopodium album,1
228,Flaveria pringlei,1
229,Flaveria ramosissima,1
230,Flaveria chlorifolia,1
231,Flaveria linearis,1
232,Flaveria brownii,1
233,Flaveria angustifolia,1
234,Flaveria floridana,1
235,Flaveria palmeri,1
236,Flaveria trinervia,1
237,Amaranthus caudatus,1
238,Flaveria bidentis,1
239,Flaveria vaginata,1
240,Flaveria australasica,1
252,Nicotiana tabacum,1
253,Cyanobium sp.,1
262,Rhodobacter sphaeroides,1
263,Acidithiobacillus ferrooxidans,1
