ID,type
RBCSeed_18 gi|563352309|gb|AHB41464.1|,II/III
RBC4_4 gi|504865161|ref|WP_015052263.1|,II/III
RBC4_6 gi|503663498|ref|WP_013897574.1|,II/III
"gi|1572541161|emb|VDS11207.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon]",II/III
CG02_land_8_20_14_3.00_150_scaffold_3515_6,II/III
OR1_SR1_3_148,II/III
RBCSeed_31 RIFCSPLOWO2_02_FULL_OP11_38_8_rifcsplowo2_02_scaffold_81990_5,II/III
RBCSeed_35 TARA_138.SAMEA2623390.450.0.22-3_1579609_5,II/III
RBCSeed_5 gi|1004818558|gb|KYC44365.1|,II/III
RBC4_7 gi|1223654907|ref|WP_091690387.1|,II/III
"gi|1277808369|gb|PIU22523.1| ribulose 1,5-bisphosphate carboxylase [Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_30_16]",II/III
"gi|1321612094|gb|PLW80019.1| ribulose 1,5-bisphosphate carboxylase [Candidatus Woesearchaeota archaeon]",II/III
RBCSeed_14 gi|502802415|ref|WP_013037391.1|,II/III
bjp_ig2599_sub10_scaffold_1302_18,II/III
RBC3_4 WP_023846593.1,II/III
"gi|1572541139|emb|VDS11196.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon] >gi|1572541157|emb|VDS11205.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon] >gi|1572541163|emb|VDS11208.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon]",II/III
"gi|1572541137|emb|VDS11195.1| RuBisCO long chain, Form II/III [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541155|emb|VDS11204.1| RuBisCO long chain, Form II/III [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541167|emb|VDS11210.1| RuBisCO long chain, Form II/III [uncultured Candidatus Woesearchaeota archaeon]",II/III
"gi|1572541007|emb|VDS11130.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon]",II/III
scaffold_6121_5_REF,II/III
CG_201501t_scaffold_70_76,II/III
RBCSeed_15 gi|503485760|ref|WP_013720421.1|,II/III
"gi|1572540977|emb|VDS11115.1| RuBisCO long chain, Form II/III [uncultured DPANN archaeon]",II/III
rifoxyd1_full_scaffold_48_74,II/III
rifcsplowo2_01_scaffold_240_75,II/III
rifoxyb2_full_scaffold_114_158,II/III
RBCSeed_13 gi|406875346|gb|EKD25149.1|,II/III
"gi|1276424375|gb|PIN88808.1| ribulose 1,5-bisphosphate carboxylase [Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_35_13]",II/III
DolZOral124_scaffold_14485_4,II/III
RBC2_50 gi|499819577|ref|WP_011500311.1|,II/III
RBC4_5 gi|505138192|ref|WP_015325294.1|,II/III
RBCSeed_2 cg1_0.2_scaffold_107_c_58,II/III
gi|1522570278|gb|RQD81613.1| ribulose-bisphosphate carboxylase [Methanosalsum natronophilum],II/III
gi|1497956000|gb|RME54848.1| ribulose-bisphosphate carboxylase [Candidatus Woesearchaeota archaeon],II/III
RBCSeed_24 gi|759380765|ref|WP_043107373.1|,II
RBC_7 gi|544702516|ref|WP_021133537.1|,II
RBC2_42 gi|1057024209|ref|WP_068435278.1|,II
RBC2_44 gi|1062686077|ref|WP_069331322.1|,II
RBC_33 gi|499759116|ref|WP_011439850.1|,II
RBC4_14 gi|494538|pdb|1RBA|A,II
"gi|1434526261|ref|WP_114277996.1| ribulose-bisphosphate carboxylase [Thioalbus denitrificans] >gi|1433653233|gb|RCX33119.1| ribulose 1,5-bisphosphate carboxylase large subunit [Thioalbus denitrificans]",II
"gi|1593223063|ref|WP_132950164.1| ribulose-bisphosphate carboxylase [Rhodovulum bhavnagarense] >gi|1588694987|gb|TCP63234.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodovulum bhavnagarense]",II
gi|503280792|ref|WP_013515453.1| ribulose-bisphosphate carboxylase [Pseudodesulfovibrio aespoeensis] >gi|316944493|gb|ADU63544.1| Ribulose-bisphosphate carboxylase [Pseudodesulfovibrio aespoeensis Aspo-2],II
gi|1519843792|gb|RPH94496.1| ribulose-bisphosphate carboxylase [Xanthomonadales bacterium],II
RBCSeed_1 cg_3.0_sub100_scaffold_266_c_6,II
RBCSeed_9 gi|1113518724|gb|OJX79267.1|,II
RBC_50 gi|918715255|ref|WP_052580230.1|,II
RBC4_35 gi|1057103972|ref|WP_068501953.1|,II
RBC4_64 cg2_3.0_scaffold_261_c_14,II
gi|1580768678|gb|TAN46839.1| ribulose-bisphosphate carboxylase [Methylococcaceae bacterium],II
"gi|1382160186|ref|WP_108027718.1| ribulose-bisphosphate carboxylase [Rhodovulum kholense] >gi|1377886580|gb|PTW47094.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodovulum kholense]",II
RBC_18 gi|488862152|ref|WP_002774391.1|,II
RBC4_16 gi|1120376324|ref|WP_073240254.1|,II
RBCSeed_19 gi|652938341|ref|WP_027191928.1|,II
RBCSeed_28 gi|940341950|ref|WP_054966967.1|,II
"gi|1592839803|ref|WP_132694381.1| ribulose-bisphosphate carboxylase [Rhodovulum steppense] >gi|1588414049|gb|TCM85265.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodovulum steppense]",II
RBC4_41 TARA_038.SAMEA2620035.340.0.22-1.6_803280_7,II
gi|1535698529|ref|WP_125403800.1| ribulose-bisphosphate carboxylase [Rhodovulum robiginosum] >gi|1534797473|gb|RSK36359.1| ribulose-bisphosphate carboxylase [Rhodovulum robiginosum],II
"gi|1434626526|ref|WP_114364791.1| ribulose-bisphosphate carboxylase [Ciceribacter lividus] >gi|1433539651|gb|RCW20863.1| ribulose 1,5-bisphosphate carboxylase large subunit [Ciceribacter lividus]",II
RBC_9 gi|504229317|ref|WP_014416419.1|,II
"gi|1376227464|ref|WP_107324459.1| ribulose-bisphosphate carboxylase [Rhodobacter veldkampii] >gi|1374520515|gb|PTE18101.1| ribulose 1,5-bisphosphate carboxylase [Rhodobacter veldkampii DSM 11550] >gi|1596396915|gb|TDQ57091.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodobacter veldkampii DSM 11550]",II
RBC4_32 gi|652360404|ref|WP_026756535.1|,II
"gi|1278328923|gb|PIY72801.1| ribulose 1,5-bisphosphate carboxylase [Rhodobacterales bacterium CG_4_10_14_0_8_um_filter_70_9]",II
RBCSeed_25 gi|771607269|ref|WP_045218222.1|,II
RBC_94 gi|983348972|ref|WP_060528669.1|,II
RBC_73 gi|499689111|ref|WP_011369845.1|,II
RBC_13 gi|771616119|ref|WP_045226995.1|,II
RBC_87 gi|503794661|ref|WP_014028655.1|,II
RBC4_28 gi|1085204677|gb|OGT90264.1|,II
RBC4_30 gi|668346614|emb|CDW95835.1|,II
RBC4_52 gi|1054953365|ref|WP_066708018.1|,II
RBC3_1 WP_012823967.1,II
RBC4_62 gi|1057394323|ref|WP_068749566.1|,II
"RBG_16_Gammaproteobacteria_62_13_RBG_16_scaffold_11150_2 ribulose-bisphosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_Gammaproteobacteria_62_13_curated id=87108755 bin=""Candidatus Muproteobacteria bacterium RBG_16_62_13"" species=RBG_16_Gammaproteobacteria_62_13_curated genus=unknown taxon_order=unknown taxon_class=Gammaproteobacteria phylum=Proteobacteria organism_tax=RBG_16_Gammaproteobacteria_62_13_curated",II
"gi|2978568|gb|AAC38280.1| ribulose-1,5-bisphosphate carboxylase/oxygenase [endosymbiont of Riftia pachyptila]",II
"gi|1277981438|gb|PIV73145.1| ribulose 1,5-bisphosphate carboxylase [Rhodobacteraceae bacterium CG17_big_fil_post_rev_8_21_14_2_50_65_11]",II
gi|506245642|ref|WP_015765417.1| ribulose-bisphosphate carboxylase [Candidatus Accumulibacter phosphatis] >gi|257044981|gb|ACV34169.1| Ribulose-bisphosphate carboxylase [Candidatus Accumulibacter phosphatis clade IIA str. UW-1],II
gi|1441563929|ref|WP_114973325.1| ribulose-bisphosphate carboxylase [Rhodoferax sp. OTU1],II
"gi|1308912230|gb|PKO35039.1| ribulose 1,5-bisphosphate carboxylase [Betaproteobacteria bacterium HGW-Betaproteobacteria-7]",II
"gi|1232577783|gb|OYY18796.1| ribulose 1,5-bisphosphate carboxylase [Burkholderiales bacterium 35-55-47] >gi|1232748218|gb|OYZ73614.1| ribulose 1,5-bisphosphate carboxylase [Burkholderiales bacterium 24-55-52] >gi|1232892434|gb|OZB00760.1| ribulose 1,5-bisphosphate carboxylase [Burkholderiales bacterium 39-55-53]",II
"gi|1491363802|gb|RLJ19271.1| ribulose 1,5-bisphosphate carboxylase [bacterium endosymbiont of Escarpia laminata] >gi|1491366091|gb|RLJ21443.1| ribulose 1,5-bisphosphate carboxylase [bacterium endosymbiont of Escarpia laminata]",II
"gi|1490350873|gb|RLA02220.1| ribulose 1,5-bisphosphate carboxylase [Gammaproteobacteria bacterium]",II
"gi|1270436872|gb|PHS29503.1| ribulose 1,5-bisphosphate carboxylase [Methylophaga sp.]",II
"gi|1278637400|gb|PJB45148.1| ribulose 1,5-bisphosphate carboxylase [Comamonadaceae bacterium CG_4_9_14_3_um_filter_60_33]",II
"gi|1543906373|gb|RUA06245.1| ribulose 1,5-bisphosphate carboxylase [Gammaproteobacteria bacterium]",II
"gi|1176749570|gb|OQY67889.1| ribulose 1,5-bisphosphate carboxylase [Rhodocyclaceae bacterium UTPRO2]",II
"TARA_102.SAMEA2622197.480.0.22-3_2176726_7 /annotation=ribulose 1,5-bisphosphate carboxylase/domain=Bacteria /phylum=Proteobacteria",II
RBCSeed_32 TARA_102.SAMEA2622197.480.0.22-3_1360909_4,II
RBCSeed_6 gi|1085072988|gb|OGS72457.1|,II
RBC_82 gi|966788972|ref|WP_058555948.1|,II
RBC_2 TARA_056.SAMEA2620666.1000.0.22-3_9262_5,II
RBC4_51 gi|801010942|ref|WP_046022207.1|,II
RBC4_58 gi|496440475|ref|WP_009149320.1|,II
"RIFCSPHIGHO2_02_FULL_Betaproteobacteria_57_16_rifcsphigho2_02_scaffold_27709_4 cbbM; ribulose bisphosphate carboxylase, large subunit (EC:4.1.1.39) Tax=RIFCSPLOWO2_02_FULL_Gallionellales_59_110_curated id=87657283 bin=""Gallionellales bacterium RIFCSPHIGHO2_02_FULL_57_16"" species=RIFCSPLOWO2_02_FULL_Gallionellales_59_110_curated genus=unknown taxon_order=Gallionellales taxon_class=Betaproteobacteria phylum=Proteobacteria organism_tax=RIFCSPLOWO2_02_FULL_Gallionellales_57_47_curated, Gallionellales, Betaproteobacteria, Proteobacteria, Bacteria",II
"gi|1222002227|ref|WP_090060133.1| ribulose-bisphosphate carboxylase [Celeribacter neptunius] >gi|1097793503|emb|SFJ22575.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Celeribacter neptunius]",II
"gi|1270410779|gb|PHS04047.1| ribulose 1,5-bisphosphate carboxylase [Blastopirellula sp.]",II
"gi|1321732417|gb|PLX43077.1| ribulose 1,5-bisphosphate carboxylase [Rhizobiales bacterium]",II
"gi|1459989123|ref|WP_116448629.1| ribulose-bisphosphate carboxylase [gamma proteobacterium symbiont of Ctena orbiculata] >gi|1386769359|gb|PVV19829.1| ribulose 1,5-bisphosphate carboxylase [gamma proteobacterium symbiont of Ctena orbiculata] >gi|1386775369|gb|PVV25448.1| ribulose 1,5-bisphosphate carboxylase [gamma proteobacterium symbiont of Ctena orbiculata]",II
"gi|1247408842|gb|PCI68138.1| ribulose 1,5-bisphosphate carboxylase [Gammaproteobacteria bacterium]",II
"gi|1353636389|ref|WP_105073703.1| ribulose-bisphosphate carboxylase [Chromatium okenii] >gi|1351052988|gb|PQJ96066.1| ribulose 1,5-bisphosphate carboxylase [Chromatium okenii]",II
"gi|1309161937|gb|PKQ23435.1| ribulose 1,5-bisphosphate carboxylase [Actinobacteria bacterium HGW-Actinobacteria-5]",II
"gi|1436066524|gb|RDH90988.1| ribulose 1,5-bisphosphate carboxylase [endosymbiont of Lamellibrachia luymesi] >gi|1436070334|gb|RDH94097.1| ribulose 1,5-bisphosphate carboxylase [endosymbiont of Seepiophila jonesi]",II
"gi|1267702416|ref|WP_098461042.1| ribulose-bisphosphate carboxylase [Propionicimonas paludicola] >gi|1261363339|gb|PFG17631.1| ribulose 1,5-bisphosphate carboxylase large subunit [Propionicimonas paludicola]",II
RBC_26 gi|499782958|ref|WP_011463692.1|,II
RBC_89 gi|491010518|ref|WP_004872227.1|,II
RBC4_25 gi|656108512|ref|WP_029132057.1|,II
RBC4_44 TARA_137.SAMEA2623295.40.0.22-3_128859_3,II
RBC4_47 gi|1154107632|ref|WP_078483596.1|,II
RBC4_48 gi|981119057|ref|WP_059417771.1|,II
RBC4_60 gi|668672668|gb|KFB68024.1|,II
RBC4_70 gi|1224600589|ref|WP_092620206.1|,II
RBC4_75 gi|269148478|gb|ACZ28620.1|,II
"gi|1493459952|ref|WP_121456814.1| ribulose-bisphosphate carboxylase [Azonexus fungiphilus] >gi|1488983621|gb|RKT62339.1| ribulose 1,5-bisphosphate carboxylase large subunit [Azonexus fungiphilus]",II
gi|1546616616|ref|WP_126703635.1| ribulose-bisphosphate carboxylase [Flaviflexus sp. H23T48] >gi|1543011525|gb|AZQ76829.1| ribulose-bisphosphate carboxylase [Flaviflexus sp. H23T48],II
gi|1543139469|ref|WP_126042219.1| ribulose-bisphosphate carboxylase [Flaviflexus salsibiostraticola] >gi|1537753223|gb|AZN30989.1| ribulose-bisphosphate carboxylase [Flaviflexus salsibiostraticola],II
gi|652383028|ref|WP_026778956.1| ribulose-bisphosphate carboxylase [Polaromonas sp. EUR3 1.2.1],II
"gi|1309172570|gb|PKQ30859.1| ribulose 1,5-bisphosphate carboxylase [Actinobacteria bacterium HGW-Actinobacteria-2]",II
RBCSeed_20 gi|659886965|ref|WP_029933650.1|,II
RBC4_8 gi|1082815638|gb|OGB30962.1|,II
RBC4_38 gi|780095224|ref|WP_045470294.1|,II
RBC4_42 gi|738612044|ref|WP_036522376.1|,II
RBC4_61 gi|499608628|ref|WP_011289362.1|,II
"cg_0.2_sub10_scaffold_512_c_22 cbbM; ribulose bisphosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Gallio_01 id=91926966 bin=""CG1_02_SUB10_Gallionellaceae_56_997_curated"" species=CG_Gallio_01 genus=unknown taxon_order=Gallionellales taxon_class=Betaproteobacteria phylum=Proteobacteria organism_tax=CG_Gallio_01, Gallionellales, Betaproteobacteria, Proteobacteria, Bacteria",II
gi|1424446337|ref|WP_112631562.1| ribulose-bisphosphate carboxylase [Rhizobiales bacterium],II
