ID,type
gi|985676506|gb|KXB06719.1|,IV
TARA_004.SAMEA2619376.5.0.22-1.6_2667_5,IV
TARA_138.SAMEA2623390.450.0.22-3_626150_7,IV
gi|1125284945|gb|OLC29172.1|,IV
RBG_19FT_COMBO_GAL15_69_19_rbg_19ft_combo_scaffold_2139_2,IV
gi|1175984493|gb|OQW93890.1|,IV
RBG_19FT_COMBO_Aminicenantes-rel_58_17_rbg_19ft_combo_scaffold_871_21,IV
gi|1154860080|ref|WP_078767427.1|,IV
GWA2_Elusimicrobia_69_24_gwa2_scaffold_146_25,IV
TARA_146.SAMEA2623673.5.0.22-3_461367_4,IV
TARA_037.SAMEA2619974.600.0.1-0.22_2167_20,IV
TARA_039.SAMEA2620106.270.0.1-0.22_47_57,IV
RBG_13_scaffold_9498_7,IV
rifcsphigho2_12_scaffold_162_94_PHAGE,IV
CG_201501t_scaffold_2353_6_PHAGE,IV
gwa2_scaffold_24083_5,IV
TARA_039.SAMEA2620106.270.0.1-0.22_9196_2,IV
imgVR_3300005683_Ga0074432_100043_78_PHAGE,IV
TARA_124.SAMEA2622800.120.0.22-0.45_770810_12,IV
imgVR_3300009058_Ga0102854_1000016_27_PHAGE,IV
TARA_067.SAMEA2620979.5.0.22-0.45_264655_4,IV
TARA_076.SAMEA2621203.5.0.22-0.45_2184309_5,IV
imgVR_3300017967_Ga0181590_10000756_38_PHAGE,IV
imgVR_3300006810_Ga0070754_10002591_16_PHAGE,IV
imgVR_3300013132_Ga0172372_10011093_16_PHAGE,IV
TARA_032.SAMEA2619838.5.0-0.22_336_6,IV
imgVR_3300009155_Ga0114968_10000900_19_PHAGE,IV
TARA_123.SAMEA2622736.150.0.1-0.22_389732_5,IV
TARA_041.SAMEA2620217.60.0.22-1.6_1670635_17,IV
TARA_034.SAMEA2619923.60.0-0.22_219_19,IV
imgVR_3300006810_Ga0070754_10000142_45_PHAGE,IV
TARA_140.SAMEA2623426.5.0.22-3_1199044_5,IV
imgVR_3300009183_Ga0114974_10000026_102_PHAGE,IV
TARA_138.SAMEA2623370.60.0.22-3_1331296_18,IV
imgVR_3300009182_Ga0114959_10000174_59_PHAGE,IV
TARA_125.SAMEA2622821.5.0.1-0.22_244_31,IV
imgVR_3300013131_Ga0172373_10003100_23_PHAGE,IV
imgVR_3300005805_Ga0079957_1000004_32_PHAGE,IV
imgVR_3300013093_Ga0164296_1000036_79_PHAGE,IV
imgVR_3300009182_Ga0114959_10006311_8_PHAGE,IV
TARA_151.SAMEA2623850.5.0.22-3_2451760_4,IV
TARA_125.SAMEA2622823.5.0.45-0.8_146852_3,IV
imgVR_3300018790_Ga0187842_1000009_46_PHAGE,IV
TARA_067.SAMEA2620979.5.0.22-0.45_599637_11,IV
imgVR_3300009154_Ga0114963_10001892_12_PHAGE,IV
TARA_025.SAMEA2619782.50.0.22-1.6_13149_6,IV
imgVR_3300006030_Ga0075470_10000039_31_PHAGE,IV
imgVR_3300006026_Ga0075478_10000002_49_PHAGE,IV
TARA_048.SAMEA2620404.5.0.22-1.6_62416_75,IV
TARA_122.SAMEA2622695.115.0.22-0.45_1458158_4,IV
TARA_072.SAMEA2621155.100.0.22-3_724636_6,IV
TARA_122.SAMEA2622656.5.0.1-0.22_392076_2,IV
TARA_125.SAMEA2622822.5.0.22-0.45_1408834_6,IV
TARA_094.SAMEA2621839.5.0.22-3_506615_6,IV
imgVR_3300007516_Ga0105050_10000484_9_PHAGE,IV
imgVR_3300004691_Ga0065176_1000054_16_PHAGE,IV
TARA_046.SAMEA2620384.5.0-0.22_446_39,IV
imgVR_3300013093_Ga0164296_1006299_14_PHAGE,IV
imgVR_3300006129_Ga0007834_1000020_33_PHAGE,IV
imgVR_3300000439_TBL_comb48_EPIDRAFT_1000912_4_PHAGE,IV
imgVR_3300000553_TBL_comb47_HYPODRAFT_10006500_13_PHAGE,IV
imgVR_3300002835_B570J40625_100002082_7_PHAGE,IV
imgVR_3300009164_Ga0114975_10000049_44_PHAGE,IV
imgVR_3300006484_Ga0070744_10000432_2_PHAGE,IV
TARA_048.SAMEA2620404.5.0.22-1.6_2468987_1,IV
