ID,Organism,type
RBC_38 gi|406907169|gb|EKD48085.1|,Peregrinibacteria,II/III
RBC_37 gwa2_scaffold_134_63,Microgenomates,IIIlike
RBC_73 gi|499689111|ref|WP_011369845.1|,reference,II
RBC4_73 gwe2_scaffold_1773_6,Peregrinibacteria,II/III
"gwf2_scaffold_583_77 ribulose bisphosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=PER_GWF2_38_29 id=5095786 bin=""PER_GWF2_38_29"" species=PER_GWF2_38_29 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Peregrinibacteria (PER) organism_tax=Peregrinibacteria organism_desc=IN PAPER CLONED BY TABITA-ACTIVE",Peregrinibacteria,II/III
"cg1_0.2_scaffold_115_c_6 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Pacearch_04 id=92070905 bin=""CG1_02_FULL_Pacearchaeota_31_27_curated"" species=CG_Pacearch_04 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Pacearchaeota organism_tax=CG_Pacearch_04, Pacearchaeota, Archaea",Pacearchaeota,IIIb
"cg1_0.2_scaffold_4554_c_7 rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Pacearch_06 id=91909415 bin=""CG1_02_FULL_novel_Archaea_34_218_curated"" species=CG_Pacearch_06 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Pacearchaeota organism_tax=CG_Pacearch_06, Pacearchaeota, Archaea",Pacearchaeota,IIIb
"cg1_0.2_scaffold_7288_c_2 rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Micra_01 id=91821780 bin=""CG1_02_FULL_Micrarchaeota_49_24_curated"" species=CG_Micra_01 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Micraarchaeota organism_tax=CG_Micra_01, Micraarchaeota, Archaea",Micrarchaeota,IIIb
gi|735013727|gb|KHO47783.1| ribulose-bisphosphate carboxylase large chain [archaeon GW2011_AR5],Aenigmarchaeota,IIIb
gi|738479616|ref|WP_036429835.1| ribulose-bisphosphate carboxylase large subunit [Mycobacterium mageritense] >gi|602544287|emb|CDO21134.1| Ribulose bisphosphate carboxylase large chain [Mycobacterium mageritense DSM 44476 = CIP 104973],reference,I
"gi|499768544|ref|WP_011449278.1| ribulose-bisphosphate carboxylase [Methanospirillum hungatei] >gi|88189023|gb|ABD42020.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Methanospirillum hungatei JF-1]",reference,IIIa
"gi|737032401|ref|WP_035027759.1| MULTISPECIES: ribulose-bisphosphate carboxylase large subunit [Devosia] >gi|630005503|emb|CDP50020.1| Ribulose bisphosphate carboxylase large chain [Devosia sp. DBB001] >gi|674763090|gb|KFL28240.1| ribulose 1,5-bisphosphate carboxylase [Devosia sp. 17-2-E-8]",reference,I
"gi|492948739|ref|WP_006056824.1| type III ribulose-bisphosphate carboxylase [Halogeometricum borinquense] >gi|312293261|gb|ADQ67721.1| ribulose 1,5-bisphosphate carboxylase large subunit [Halogeometricum borinquense DSM 11551] >gi|445569023|gb|ELY23598.1| ribulose bisophosphate carboxylase [Halogeometricum borinquense DSM 11551]",reference,IIIb
gi|488805187|ref|WP_002717593.1| ribulose-bisphosphate carboxylase large subunit [Afipia felis] >gi|410882158|gb|EKS29998.1| ribulose bisphosphate carboxylase large chain [Afipia felis ATCC 53690],reference,I
gi|735021595|gb|KHO55404.1| ribulose-bisphosphate carboxylase large chain [archaeon GW2011_AR19],Pacearchaeota,IIIlike
"gi|499216959|ref|WP_010914499.1| ribulose-bisphosphate carboxylase [Mesorhizobium loti] >gi|14026595|dbj|BAB53192.1| ribulose bisphosphate carboxylase, large subunit [Mesorhizobium loti MAFF303099]",reference,IV
"gi|499681920|ref|WP_011362654.1| ribulose-bisphosphate carboxylase [Chlorobium chlorochromatii] >gi|78171796|gb|ABB28892.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Chlorobium chlorochromatii CaD3]",reference,IV
"gi|497494967|ref|WP_009809165.1| ribulose-bisphosphate carboxylase [Roseobacter sp. MED193] >gi|85825425|gb|EAQ45624.1| putative ribulose bisphosphate carboxylaseoxygenase,large subunit [Roseobacter sp. MED193]",reference,IV
TARA_037.SAMEA2619974.600.0.1-0.22_8582_9 /annotation=rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39) /ngenes=16,Pacearchaeota,IIIb
"gi|3183144|sp|Q51856.1|RBL_HYDTE RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|505126|dbj|BAA06437.1| ribulose-1,5-bisphosphate carboxylase oxygenase large subunit [Hydrogenophilus thermoluteolus]",reference,I
