DATASET_STYLE
#Style datasets allow the customization of branch and leaf label colors and styles.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example style

#dataset color (can be changed later)
COLOR,#ffff00

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#the following fields are required for each node:
#ID,TYPE,WHAT,COLOR,WIDTH_OR_SIZE_FACTOR,STYLE,BACKGROUND_COLOR

# TYPE: can be either 'branch' or 'label'. 'branch' will apply customizations to the tree branches, while 'labels' apply to the leaf text labels
# WHAT: can be either 'node' or 'clade', only relevant for internal tree nodes. 'Node' will apply the customization only to a single node, while 'clade' will apply to all child nodes as well.
# COLOR: can be in hexadecimal, RGB or RGBA notation. If RGB or RGBA are used, dataset SEPARATOR cannot be comma.
# WIDTH_OR_SIZE_FACTOR: for type 'branch', specifies the relative branch width, compared to the global branch width setting.
#                       for type 'label', specifies the relative font size, compared to the global font size
# STYLE: for type 'branch', can be either 'normal' or 'dashed'
#        for type 'label', can be one of 'normal', 'bold', 'italic' or 'bold-italic'
# BACKGROUND_COLOR (optional): only relevant for type 'label', specifies the color of the label background. The value is optional.


DATA

#Examples

#a single internal node's branch will be colored red with double branch width and dashed line
#9606|184922,branch,node,#ff0000,2,dashed

#node 9606 will have its label displayed in blue with bold italic font, and with yellow background
#9606,label,node,#0000ff,1,bold-italic,#ffff00

#a clade starting at internal node 2190|2287 will have all its branches colored green
#2190|2287,branch,clade,#00ff00,1,normal

#all leaf labels in a clade will be displayed in red
#2097|1502,label,clade,#ff0000,1,normalgi|37087672|sp|O58677.1|RBL_PYRHO,label,node,#ff0000,1,normal
rifcsphigho2_01_scaffold_1015_10,label,node,#5D6D7E,1,normal
gi|85698004|gb|EAQ35877.1|,label,node,#28B463,1,normal
RBC2_36,label,node,#E74C3C,1,normal
rifcsplowo2_01_scaffold_240_75,label,node,#AF7AC5,1,normal
gi|502433156|ref|WP_012784207.1|,label,node,#28B463,1,normal
RBC4_4,label,node,#AF7AC5,1,normal
rifoxyd1_full_scaffold_48_74,label,node,#AF7AC5,1,normal
RBC4_6,label,node,#AF7AC5,1,normal
OR1_SR1_3_148,label,node,#AF7AC5,1,normal
rifoxyc1_sub10_scaffold_612_2,label,node,#5D6D7E,1,normal
gi|1200348751|gb|OUU68608.1|,label,node,#28B463,1,normal
gwc2_scaffold_9210_4,label,node,#1F618D,1,normal
gi|998453971|gb|AHY04304.2|,label,node,#28B463,1,normal
scaffold_6121_5_REF,label,node,#AF7AC5,1,normal
rifcsplowo2_01_scaffold_11977_10,label,node,#5D6D7E,1,normal
UBA6264contig_60200_23,label,node,#1F618D,1,normal
gi|1088850228|emb|SDT84388.1|,label,node,#28B463,1,normal
RBC4_78,label,node,#AF7AC5,1,normal
CG10_big_fil_rev_8_21_14_0.10_scaffold_617_c_46,label,node,#5D6D7E,1,normal
RBG_13_scaffold_5391_5,label,node,#1F618D,1,normal
RifSed_csp1_19ft_4_scaffold_94308_4,label,node,#5D6D7E,1,normal
rifcsphigho2_01_scaffold_156249_3,label,node,#5D6D7E,1,normal
cg1_0.2_scaffold_10592_2,label,node,#1F618D,1,normal
gwf2_scaffold_10625_13,label,node,#5D6D7E,1,normal
RBCSeed_18,label,node,#AF7AC5,1,normal
rifcsphigho2_02_scaffold_255720_1,label,node,#5D6D7E,1,normal
rifoxyd2_full_scaffold_3430_5,label,node,#1F618D,1,normal
gi|737552465|ref|WP_035525214.1|,label,node,#28B463,1,normal
gi|499635370|ref|WP_011316104.1|,label,node,#28B463,1,normal
RIFCSPHIGHO2_02_FULL_OP11_39_14_rifcsphigho2_02_scaffold_3431_21,label,node,#5D6D7E,1,normal
RBC_37,label,node,#5D6D7E,1,normal
CG08_land_8_20_14_0.20_scaffold_141789_1,label,node,#1F618D,1,normal
UBA96contig_21807_17,label,node,#17202A,1,normal
Ig5771_scaffold_652_7,label,node,#AF7AC5,1,normal
rifcsplowo2_01_scaffold_352176_1,label,node,#5D6D7E,1,normal
CG22_combo_CG1013_8_21_14_all_scaffold_27032_2_Parcubacteria,label,node,#1F618D,1,normal
CG03_land_8_20_14_0.80_scaffold_45401_2,label,node,#1F618D,1,normal
RBCSeed_30,label,node,#AF7AC5,1,normal
gi|586625425|gb|EWS57694.1|,label,node,#28B463,1,normal
gwe1_scaffold_5288_7,label,node,#5D6D7E,1,normal
RBG_13_scaffold_565_33,label,node,#5D6D7E,1,normal
